Fecha,Equipo_L,Equipo_V,manager_name_L,manager_name_V,formation_L,formation_V,hora
2026-03-01,Real Betis,Sevilla,manuel pellegrini,matías almeyda,4-3-3 ATTACKING,3-4-2-1,17:30:00
2026-03-15,Real Betis,Celta Vigo,manuel pellegrini,claudio giráldez,4-2-3-1,5-4-1,17:30:00
2026-01-04,Real Madrid,Real Betis,xabi alonso,manuel pellegrini,4-4-2,4-2-3-1,15:15:00
2026-01-17,Real Madrid,Levante,álvaro arbeloa,luís castro,4-3-3 ATTACKING,4-2-3-1,13:00:00
2026-02-01,Real Madrid,Rayo Vallecano,álvaro arbeloa,iñigo pérez,4-4-2,4-2-3-1,13:00:00
2026-02-14,Real Madrid,Real Sociedad,álvaro arbeloa,pellegrino matarazzo,4-4-2 DOUBLE 6,4-2-3-1,20:00:00
2026-03-02,Real Madrid,Getafe,álvaro arbeloa,josé bordalás,4-2-3-1,5-4-1,20:00:00
2026-03-14,Real Madrid,Elche,álvaro arbeloa,eder sarabia,4-4-2,5-3-2,20:00:00
2026-03-22,Real Madrid,Atletico Madrid,álvaro arbeloa,diego simeone,4-4-2,4-4-2,20:00:00
2026-01-10,Real Oviedo,Real Betis,guillermo almada,manuel pellegrini,4-2-3-1,4-3-3 ATTACKING,13:00:00
2026-01-31,Real Oviedo,Girona,guillermo almada,míchel,4-2-3-1,4-3-3 ATTACKING,13:00:00
2026-02-15,Real Oviedo,Athletic Club,guillermo almada,ernesto valverde,4-2-3-1,4-2-3-1,13:00:00
2026-02-28,Real Oviedo,Atletico Madrid,guillermo almada,diego simeone,4-2-3-1,4-4-2,20:00:00
2026-03-14,Real Oviedo,Valencia,guillermo almada,carlos corberán,4-2-3-1,4-2-3-1,17:30:00
2026-01-04,Real Sociedad,Atletico Madrid,pellegrino matarazzo,diego simeone,4-2-3-1,4-4-2,20:00:00
2026-01-18,Real Sociedad,Barcelona,pellegrino matarazzo,hansi flick,4-2-3-1,4-3-3 ATTACKING,20:00:00
2026-01-25,Real Sociedad,Celta Vigo,pellegrino matarazzo,claudio giráldez,4-2-3-1,5-4-1,17:30:00
2026-02-07,Real Sociedad,Elche,pellegrino matarazzo,eder sarabia,4-2-3-1,3-1-4-2,20:00:00
2026-02-21,Real Sociedad,Real Oviedo,pellegrino matarazzo,guillermo almada,4-2-3-1,4-2-3-1,13:00:00
2026-03-15,Real Sociedad,Osasuna,pellegrino matarazzo,alessio lisci,4-1-4-1,4-2-3-1,20:00:00
2026-01-04,Sevilla,Levante,matías almeyda,luís castro,5-3-2,4-2-3-1,13:00:00
2026-01-12,Sevilla,Celta Vigo,matías almeyda,claudio giráldez,5-3-2,4-4-2,20:00:00
2026-01-24,Sevilla,Athletic Club,matías almeyda,ernesto valverde,5-3-2,4-2-3-1,17:30:00
2026-02-08,Sevilla,Girona,matías almeyda,míchel,5-3-2,4-2-3-1,15:15:00
2026-02-14,Sevilla,Alaves,matías almeyda,eduardo coudet,5-3-2,4-4-2,17:30:00
2026-03-08,Sevilla,Rayo Vallecano,matías almeyda,iñigo pérez,4-4-2 DOUBLE 6,4-2-3-1,17:30:00
2026-01-10,Valencia,Elche,carlos corberán,eder sarabia,4-2-3-1,4-1-4-1,20:00:00
2026-01-24,Valencia,Espanyol,carlos corberán,manolo gonzález,4-4-2,4-4-2,15:15:00
2026-02-08,Valencia,Real Madrid,carlos corberán,álvaro arbeloa,4-4-2,4-4-2 DOUBLE 6,20:00:00
2026-03-01,Valencia,Osasuna,carlos corberán,alessio lisci,4-2-3-1,4-2-3-1,15:15:00
2026-03-08,Valencia,Alaves,carlos corberán,quique sánchez flores,4-3-3 ATTACKING,4-4-2 DOUBLE 6,20:00:00
2026-01-10,Villarreal,Alaves,marcelino,eduardo coudet,4-4-2,4-2-3-1,15:15:00
2026-01-24,Villarreal,Real Madrid,marcelino,álvaro arbeloa,4-4-2,4-3-3 ATTACKING,20:00:00
2026-02-09,Villarreal,Espanyol,marcelino,manolo gonzález,4-4-2,4-2-3-1,20:00:00
2026-02-22,Villarreal,Valencia,marcelino,carlos corberán,4-4-2,3-4-2-1,20:00:00
2026-03-08,Villarreal,Elche,marcelino,eder sarabia,4-4-2,3-5-2 FLAT,13:00:00
2026-03-20,Villarreal,Real Sociedad,marcelino,pellegrino matarazzo,4-4-2,4-2-3-1,20:00:00
