,home_team,away_team,Time,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTR,FTR,FTHG,FTAG,date,away_expected_points,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_expected_points,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,game_id,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,referee,home_club_formation,away_club_formation,home_club_id,away_club_id,home_xi_market_value,home_xi_average_age,home_xi_average_height,home_xi_total_caps,away_xi_market_value,away_xi_average_age,away_xi_average_height,away_xi_total_caps
33,Real Madrid,Levante,12:00,25,8,11,3,9,6,13,10,2,2,0,0,H,H,3,2,2019-09-14,0.5353,1.81125,1.81125,-1.49985,24.53333333333333,3,2.3041,3.3111,3.3111,1.49985,6.064516129032258,17,3208666.0,3.0,8.0,Zinédine Zidane,Paco López,De Burgos Bengoetxea,4-2-3-1,5-4-1,418.0,3368.0,520000000.0,28.249393317155125,182.1818181818182,613.0,52500000.0,28.168004480119468,181.9090909090909,35.0
34,Leganes,Villarreal,15:00,10,8,4,4,8,6,14,11,2,0,0,0,A,A,0,3,2019-09-14,2.5524,1.83013,1.83013,1.430214,10.904761904761903,5,0.2919,0.399916,0.399916,-1.430214,18.0,6,3208664.0,20.0,10.0,Mauricio Pellegrino,Javier Calleja,Medié Jiménez,4-4-2 double 6,4-3-3 Attacking,1244.0,1050.0,67000000.0,25.947358596229233,179.9090909090909,229.0,99500000.0,28.607056188165018,182.45454545454547,302.0
35,Eibar,Espanyol,11:00,11,7,1,2,7,2,14,16,2,4,0,1,D,A,1,2,2019-09-15,2.4469,1.64516,1.64516,1.077418,9.0,3,0.3604,0.567742,0.567742,-1.077418,8.6,3,3208663.0,19.0,17.0,José Luis Mendilibar,David Gallego,Valentin Pizarro Gomez,4-4-2 double 6,4-4-2,1533.0,714.0,42500000.0,30.415779976354926,179.0,55.0,88000000.0,28.539356605065027,182.0,14.0
36,Alaves,Sevilla,13:00,7,19,0,7,2,6,13,7,5,5,0,0,A,A,0,1,2019-09-15,1.5700999999999998,1.091,1.091,0.3173389999999999,8.8,13,1.0984999999999998,0.773661,0.773661,-0.3173389999999999,11.166666666666666,1,3208659.0,11.0,1.0,Asier Garitano,Julen Lopetegui,Alejandro Hernández Hernández,4-4-2 double 6,4-3-3 Attacking,1108.0,368.0,60500000.0,28.044054508120215,181.36363636363637,20.0,152000000.0,28.38777922966835,180.72727272727272,259.0
37,Celta Vigo,Granada,15:00,4,13,0,3,3,5,11,13,4,2,2,0,A,A,0,2,2019-09-15,2.2676000000000003,1.1436,1.1436,0.909879,6.5,2,0.4502,0.233721,0.233721,-0.909879,13.933333333333334,2,3208662.0,14.0,6.0,Fran Escribá,Diego Martínez,Eduardo Prieto Iglesias,4-4-2,4-2-3-1,940.0,16795.0,162500000.0,24.90946425238006,177.54545454545453,131.0,18900000.0,28.24416651110696,182.54545454545453,99.0
38,Real Valladolid,Osasuna,17:30,11,17,1,5,10,6,9,10,0,1,0,0,D,D,1,1,2019-09-15,2.6676999999999995,2.68375,2.68375,1.893144,10.05,10,0.2215,0.790606,0.790606,-1.893144,10.7,3,3208668.0,12.0,9.0,Sergio,Jagoba Arrasate,José Luis Munuera Montero,4-4-2 double 6,4-4-2 double 6,366.0,331.0,47500000.0,26.332151079584346,181.0,72.0,22600000.0,27.93951838715699,178.36363636363637,55.0
39,Real Betis,Getafe,20:00,7,12,2,4,5,6,11,28,3,6,2,0,A,D,1,1,2019-09-15,1.7656999999999998,1.49492,0.751644,0.4928309999999999,6.153846153846154,8,0.8828,1.00209,0.258813,-0.4928309999999999,6.153846153846154,1,3208661.0,16.0,18.0,Rubi,Pepe Bordalás,González González,4-2-3-1,4-4-2,150.0,3709.0,174500000.0,28.46145230539481,183.0,240.0,108500000.0,28.032854209445585,182.8181818181818,204.0
40,Osasuna,Real Betis,20:00,12,7,6,2,9,4,15,9,1,2,0,0,D,D,0,0,2019-09-20,0.1906999999999999,0.334273,0.334273,-1.866447,18.63636363636364,3,2.6990000000000003,2.20072,2.20072,1.866447,7.774193548387097,4,3208675.0,9.0,16.0,Jagoba Arrasate,Rubi,Carlos del Cerro Grande,4-4-2 double 6,4-2-3-1,331.0,150.0,32400000.0,28.596353680542588,179.27272727272728,55.0,169000000.0,27.576628710098934,181.0909090909091,367.0
41,Levante,Eibar,15:00,13,18,4,4,6,7,9,11,0,2,0,0,D,D,0,0,2019-09-21,1.0053999999999998,1.12755,1.12755,-0.4854499999999999,12.36842105263158,2,1.7383,1.613,1.613,0.4854499999999999,9.916666666666666,9,3208674.0,10.0,19.0,Paco López,José Luis Mendilibar,Javier Alberola Rojas,4-4-2,4-2-3-1,3368.0,1533.0,66000000.0,27.269491630887934,180.9090909090909,35.0,35600000.0,30.172609047352374,178.8181818181818,55.0
42,Atletico Madrid,Celta Vigo,17:30,20,6,5,3,13,3,14,12,3,5,0,0,D,D,0,0,2019-09-21,0.4754,0.582564,0.582564,-1.1373760000000002,17.916666666666668,3,2.3054,1.71994,1.71994,1.1373760000000002,9.148148148148149,10,3208670.0,6.0,13.0,Diego Simeone,Fran Escribá,Mario Melero López,4-4-2 double 6,4-2-3-1,13.0,940.0,568000000.0,26.317217348018172,180.9090909090909,528.0,123500000.0,26.201232032854207,178.9090909090909,236.0
