,FTR,date,Time,game_id,HTR,team,club_id,manager,formation,xi_market_value,xi_average_age,xi_average_height,xi_total_caps,is_home,shots_last_5,shots_target_last_5,corners_last_5,fouls_last_5,yellow_cards_last_5,red_cards_last_5,xp_last_5,xg_last_5,np_xg_last_5,ppda_last_5,deep_completions_last_5,xi_market_value_last_5,xi_average_age_last_5,xi_average_height_last_5,xi_total_caps_last_5,shots_ewm_5,shots_target_ewm_5,corners_ewm_5,fouls_ewm_5,yellow_cards_ewm_5,red_cards_ewm_5,xp_ewm_5,xg_ewm_5,np_xg_ewm_5,ppda_ewm_5,deep_completions_ewm_5,xi_market_value_ewm_5,xi_average_age_ewm_5,xi_average_height_ewm_5,xi_total_caps_ewm_5,position_last
202,A,2020-01-25,17:30,3208842.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,74300000.0,28.130421255677927,182.1818181818182,20.0,1,8.0,2.8,3.4,16.0,4.2,0.4,0.8944199999999999,0.8818377999999999,0.8818378000000001,10.10353830721478,2.8,59140000.0,28.501375147781722,181.34545454545454,21.2,9.306509316436797,3.485556469558332,4.337631815801761,17.021741113728833,4.341782937609737,0.13286902945377396,1.044975919781098,1.07995885662249,1.0218741803011293,9.996732097315602,3.6434539152145877,61920008.6530367,28.507951831094758,181.20865655305101,21.423955865043215,14.0
217,D,2020-02-02,17:30,3209799.0,D,Alaves,1108.0,Asier Garitano,5-3-2,71300000.0,27.813826146475016,183.1818181818182,35.0,0,9.4,3.8,4.4,14.6,3.8,0.0,1.1208399999999998,1.0021042,1.0021042000000002,10.142412987521684,4.0,63380000.0,28.31574886441416,181.2909090909091,22.8,10.20451958257376,4.323872383453083,5.225265835193883,14.680691395322961,3.5610320956369175,0.08857047173858683,1.1090634618278192,1.0449695562247157,1.0062503211726084,9.925343317659772,5.095927143694677,66047499.938639626,28.382083071060137,181.53310881070183,20.94920872998236,14.0
220,H,2020-02-07,20:00,3209802.0,D,Alaves,1108.0,Asier Garitano,4-2-3-1,69800000.0,28.43830502146724,183.0909090909091,35.0,1,8.2,3.8,4.2,14.2,3.6,0.0,0.89222,0.8863726,0.8863726,13.290984416093114,3.4,65480000.0,28.320079646568352,181.5090909090909,23.2,8.1360699252299,3.882522599400246,3.8166556192570553,13.787008149697638,2.7072406150611807,0.05904303460501471,1.0054951319007421,1.0246743248797112,0.998863226776851,13.067315492253742,3.730435588042883,67798567.33516039,28.192638775607726,182.08275206484248,25.633431900057683,15.0
231,H,2020-02-15,12:00,3209963.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,71400000.0,28.24416651110696,182.8181818181818,35.0,0,9.0,4.2,4.0,15.2,3.4,0.0,1.3061,1.0887682,1.0887682,11.40577138351166,4.4,68900000.0,28.412619003173415,182.27272727272728,26.0,8.424072279208657,4.255048260086887,3.5444128213678874,14.524737835045713,2.804835772903312,0.03936026924137295,1.5118752088232779,1.1645086764967436,1.147302044460629,12.886966188007186,4.153661436811493,68465771.00781547,28.27453482155739,182.41883435340583,28.755899493518374,14.0
246,H,2020-02-23,13:00,3209968.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,66100000.0,28.54881463505694,182.1818181818182,20.0,1,9.8,4.0,4.4,14.6,2.4,0.0,1.34682,1.1849417999999998,1.1849418000000003,10.705491793576897,4.8,71520000.0,28.26203720988115,182.65454545454548,29.0,8.94941272637192,2.836614580569631,4.029637371465735,14.683167967952757,2.5365412443841344,0.026239400072737375,1.1347944060788364,1.037963267129905,1.0264925198356918,10.234831407652596,3.769084779459956,69443905.44285135,28.264411450046662,182.5519580829723,30.83738997619117,14.0
252,D,2020-02-29,17:30,3209982.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,61700000.0,29.668595606993964,183.0,20.0,0,7.8,3.6,3.6,14.0,2.4,0.0,1.4757000000000002,1.2057378,1.0570818000000002,11.365610841195943,4.0,70580000.0,28.235106713956817,182.6909090909091,29.0,7.299543145901568,3.2244250785007496,3.353064787263047,15.455475897005998,3.0243801490481896,0.01749258698941323,1.5691134706784318,1.3055027732203799,1.0500859475737407,10.23591939422006,3.512713033439925,68329226.15156221,28.35921626618922,182.42857322961817,27.2247835838932,14.0
259,D,2020-03-06,20:00,3209997.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,63300000.0,28.57221081451061,182.9090909090909,20.0,1,7.0,3.2,3.0,15.6,2.6,0.0,1.4988800000000002,1.2061506000000002,1.0574946,10.553916688272405,2.6,68060000.0,28.54274158422002,182.85454545454544,29.0,7.533034928448692,3.482956877940116,3.5687155516614877,16.30367299161063,3.016253218136288,0.011661570712506676,1.4971070793814027,1.1960242917596928,1.025748655843465,8.731952532966062,2.6751199086465,66119425.75917609,28.79568756991911,182.61905384870406,24.816458806071324,13.0
275,H,2020-06-13,13:00,3210018.0,H,Alaves,1108.0,Asier Garitano,4-4-2 double 6,51400000.0,27.885010266940455,182.54545454545453,33.0,0,8.8,3.0,3.4,15.0,3.4,0.0,1.6017400000000002,1.1970906,1.0484346,9.343175947531664,3.6,66460000.0,28.694418517827142,182.8,26.0,9.355388694115646,2.9886292179923957,3.379140364405063,13.869072476468718,3.677513784235573,0.007774312055575534,1.4356369709888892,1.1102786853026902,0.9967625937135349,10.253427233469875,3.7834327797857705,65179600.63097292,28.721194006959113,182.71573457050516,23.210944278806714,14.0
288,H,2020-06-18,18:30,3210035.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,47900000.0,28.499284425362454,182.0909090909091,19.0,1,7.2,2.0,3.0,15.6,3.4,0.2,1.11714,0.9185933000000001,0.7699373,10.087912789636928,2.8,62780000.0,28.58375956692179,182.6909090909091,25.6,6.570226448417284,1.9924077890353489,2.5860842705784948,15.579401719920684,3.4516732061518662,0.33852008899604524,0.9909194290263589,0.7573994828633169,0.6817225324736622,12.252308277111185,2.8556109661628803,60586346.523570895,28.44246282299792,182.65897389612724,26.474001141129115,14.0
299,H,2020-06-21,13:00,3210056.0,H,Alaves,1108.0,Asier Garitano,4-4-2 double 6,46100000.0,27.73368178706988,183.0,15.0,0,8.2,3.4,3.0,16.8,3.6,0.4,1.52836,1.0657903,0.9171343000000001,10.593597784977096,3.0,58080000.0,28.634783149772886,182.54545454545456,22.4,9.380172946818638,3.661618250327056,3.3907291415015557,17.386281947858656,3.3011142929993467,0.5590151175178282,1.4728833895827036,1.0118949794028513,0.9614438764758699,10.654679506881772,3.237076961514057,56357531.26853701,28.461403505285617,182.46961747978693,23.982647938453773,12.0
306,A,2020-06-24,18:30,3210073.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,58400000.0,27.93678053636986,181.9090909090909,25.0,1,8.2,3.0,3.4,15.4,3.0,0.6,1.0492399999999997,0.7313693,0.7313693000000001,12.412645404024714,2.8,54080000.0,28.471756580175473,182.7090909090909,21.4,7.586772611792548,3.1077426117039355,3.5938204868083736,14.924175125117998,2.5340721951354497,0.7060108449419094,0.9959531058183734,0.7307435200369835,0.6971095391218856,13.547579202445842,2.8247158238401764,52938336.347598165,28.218828334161127,182.64641257519452,20.98841634376681,13.0
314,H,2020-06-27,21:00,3210084.0,D,Alaves,1108.0,Asier Garitano,4-1-4-1,38350000.0,26.27888743699832,183.36363636363637,25.0,0,7.6,2.2,4.0,14.2,2.8,0.6,0.9010999999999999,0.6138909,0.6138909000000001,13.005317817817817,3.2,53420000.0,28.12539356605065,182.4909090909091,22.4,6.7245120766812665,2.071824806196077,4.729217605341511,13.94944669454439,2.356047511146534,0.47067307842205863,0.8681016260405026,0.6170566180993226,0.5946340031348166,11.927547169216536,2.88314408569941,54758897.22799747,28.124812074694884,182.40063783200088,22.325615544925164,14.0
