Equipo,Fecha,hora,es_local,resultado_final,xpts_avg5,ppda_avg5,corners_avg5,faltas_avg5,amarillas_avg5,rojas_avg5,diff_xg_avg5,diff_tiros_puerta_avg5,diff_tiros_avg5,diff_pases_area_avg5,diff_xpts_avg5,diff_corners_avg5,diff_faltas_avg5,diff_amarillas_avg5,diff_ratio_presion_avg5,diff_dominio_ofensivo_avg5,diff_agresividad_ofensiva_avg5,diff_disciplina_avg5,xpts_ewma5,ppda_ewma5,corners_ewma5,faltas_ewma5,amarillas_ewma5,rojas_ewma5,diff_xg_ewma5,diff_tiros_puerta_ewma5,diff_tiros_ewma5,diff_pases_area_ewma5,diff_xpts_ewma5,diff_corners_ewma5,diff_faltas_ewma5,diff_amarillas_ewma5,diff_ratio_presion_ewma5,diff_dominio_ofensivo_ewma5,diff_agresividad_ofensiva_ewma5,diff_disciplina_ewma5
Barcelona,2022-10-09,19:00:00,1,H,2.5296,6.496732997827462,7.0,12.0,2.4,0.0,2.7427163799999996,5.0,11.4,9.2,2.15868,3.4,1.4,0.4,15.978578980516776,23.342716379999995,14.8,0.0,2.150554983174367,6.364580058744612,6.133909144065077,12.272103627928512,2.754284459469066,0.029351328156981042,2.0436953389942993,3.8488639559362117,9.022832372364677,7.5492181454103156,1.4742551033718105,2.7320139467090803,1.8763130483221087,0.7629221326516169,20.069800554321603,18.615745856769287,11.754846319073758,-0.3594372459777282
Barcelona,2022-10-16,14:15:00,0,H,2.3505599999999998,6.705992257086722,5.4,13.4,2.8,0.0,2.35625498,4.2,8.0,4.2,1.83504,2.0,2.6,0.6,14.040381992319785,14.556254979999997,10.0,-0.2,2.062236655449578,7.119596582372951,6.089272762710052,13.514735751952344,2.5028563063127107,0.01956755210465403,1.5739202259961997,3.2325759706241413,5.681888248243119,3.0328120969402113,1.322536735581207,2.821342631139387,3.5842086988814055,-0.15805191156558862,15.185863508877542,10.288620571179525,8.503230879382507,0.4270418360148478
Barcelona,2022-10-20,19:00:00,1,H,2.0580799999999995,6.439793098601447,5.2,13.4,2.4,0.0,1.62557638,3.8,8.2,4.4,1.30662,2.2,3.4,0.2,16.127548892740542,14.225576379999998,10.4,0.2,1.8748577702997187,7.230268689323903,5.059515175140035,13.676490501301563,2.3352375375418073,0.013045034736436022,1.1145568173308,2.4883839804160948,7.12125883216208,2.355208064626808,0.9808911570541381,2.2142284207595915,3.3894724659209374,-0.10536794104372577,13.22337137150976,10.591023714119682,9.335487252921672,0.2846945573432319
Barcelona,2022-10-23,19:00:00,1,H,2.07748,6.411929321511664,5.6,14.4,2.0,0.0,1.76404958,3.0,8.4,6.0,1.3379400000000001,3.6,4.6,-0.2,19.27941266983033,16.164049579999993,12.0,0.6,2.2382385135331457,6.714915968321199,6.039676783426691,15.117660334201043,1.5568250250278717,0.008696689824290683,1.7806198782205334,2.9922559869440635,8.414172554774721,6.903472043084538,1.635927438036092,4.142818947173061,4.592981643947292,-0.40357862736248384,16.087510738901244,17.098264476079787,12.556991501947781,0.5231297048954879
Barcelona,2022-10-29,19:00:00,0,A,2.0261000000000005,8.114233468977101,4.6,13.6,2.0,0.0,1.1097595999999998,2.2,4.6,3.4,1.2551999999999999,2.2,3.0,-0.2,14.48960852236489,9.109759599999997,6.8,0.2,2.4059923423554306,8.571848740785562,4.3597845222844605,12.41177355613403,1.704550016685248,0.005797793216193789,1.8186089188136891,3.3281706579627093,7.276115036516481,5.935648028723026,1.9519182920240614,2.4285459647820407,1.0619877626315284,-0.26905241824165593,11.567269064029402,15.030371984053193,9.704661001298522,0.348753136596992
Barcelona,2022-11-05,20:00:00,1,H,2.38398,8.295947754691388,5.6,12.4,2.2,0.0,1.5968598,2.2,7.0,5.4,1.91478,3.6,1.0,-0.4,9.176076054832421,13.996859799999996,10.6,0.4,2.5465615615702872,8.190756303380851,6.23985634818964,10.607849037422689,2.803033344456832,0.0038651954774625266,1.9279946125424596,2.2187804386418066,8.184076691010988,7.957098685815351,2.2103788613493744,3.9523639765213603,-1.2920081582456477,0.15396505450556267,9.98532223316246,18.069169989368795,12.136440667532348,-0.10083124226867196
Barcelona,2022-11-08,20:30:00,0,A,2.59988,7.888540347283981,6.2,12.0,2.2,0.0,2.2295499999999997,4.2,11.8,9.4,2.2999199999999997,4.6,-0.2,0.2,13.11395965271602,23.429549999999995,16.4,-0.2,2.6860743743801914,7.658035066451433,7.1599042321264275,11.73856602494846,2.5353555629712217,0.002576796984975018,2.5512700750283064,5.4791869590945375,13.122717794007325,9.9713991238769,2.45518590756625,5.301575984347574,-0.528005438830432,0.43597670300370844,15.02601729124411,25.645386992912528,18.4242937783549,-0.40055416151244794
Barcelona,2022-12-31,13:00:00,1,D,2.5279000000000003,9.504884433305486,6.6,10.4,2.6,0.4,2.14619,4.0,8.6,9.6,2.1596400000000004,5.0,-2.6,0.2,11.316036619326095,20.34619,13.6,-1.0,2.170782916253461,10.2831344887454,6.439936154750953,9.825710683298974,3.023570375314148,0.6683845313233167,1.6271900500188712,3.6527913060630253,6.748478529338218,7.3142660825846,1.5021906050441667,4.5343839895650495,-3.3520036258869546,0.29065113533580567,10.120268837437596,15.68993466194169,11.282862518903269,-1.6003694410082985
Barcelona,2023-01-08,20:00:00,0,A,2.45678,9.474708994708994,7.0,9.0,3.8,0.6,1.9033824,4.2,9.8,7.6,2.04084,5.0,-4.8,0.2,9.737121148831676,19.303382399999997,14.8,-1.0,2.316988610835641,8.699867436941378,7.626624103167302,10.21714045553265,4.015713583542766,0.7789230208822111,1.7176960333459141,4.101860870708684,10.165652352892145,6.876177388389734,1.785460403362778,5.6895893263767,-3.5680024172579703,-0.1395659097761295,11.387249932029103,18.759525774627797,15.855241679268845,-0.733579627338866
Barcelona,2023-01-22,17:30:00,1,H,2.08028,8.609566137566137,7.6,10.8,4.0,0.8,1.384553,2.8,6.8,5.4,1.3167,4.6,-2.0,0.4,10.080940476562768,13.584553,11.4,-1.2,1.8309924072237609,8.45324495796092,6.417749402111535,12.144760303688434,3.677142389028511,0.8526153472548075,0.9119440222306097,1.7345739138057898,3.443768235261431,2.250784925593157,0.8447069355751855,2.7930595509178002,0.2879983884946862,0.2402893934825803,9.006794072333129,6.6064971830851995,6.236827786179231,-0.8223864182259106
Barcelona,2023-01-28,15:15:00,0,A,1.6883400000000002,8.731259259259257,6.4,11.6,3.2,0.8,0.8484729999999999,3.0,5.0,3.8,0.57846,3.6,0.2,0.0,23.669247354869647,9.648473,8.6,-0.8,1.509994938149174,8.314508984319625,5.611832934741024,11.76317353579229,2.7847615926856744,0.568410231503205,0.43008468148707324,1.4897159425371933,2.629178823507621,2.833856617062105,0.24183795705012368,2.5287063672785335,1.8586655923297906,-0.17314040434494643,30.925517035876403,5.8931201220568,5.157885190786154,-0.21492427881727388
Barcelona,2023-02-01,20:00:00,0,A,1.38232,9.190518518518518,5.0,11.8,3.4,0.8,0.10635939999999999,0.8,0.4,2.0,0.03845999999999998,1.6,1.0,0.0,20.158876984499276,2.506359399999999,2.0,-0.4,1.4849966254327827,8.505968952509381,4.407888623160683,12.842115690528194,2.8565077284571165,0.37894015433547007,0.3158074543247155,1.3264772950247956,1.7527858823384144,3.555904411374737,0.2428253047000825,1.0191375781856893,2.9057770615531937,0.217906397103369,23.135529875769457,5.624497748037868,2.7719234605241034,0.19005048078848405
