,shots_last_5_diff,shots_target_last_5_diff,corners_last_5_diff,fouls_last_5_diff,yellow_cards_last_5_diff,red_cards_last_5_diff,xp_last_5_diff,xg_last_5_diff,np_xg_last_5_diff,ppda_last_5_diff,deep_completions_last_5_diff,shots_ewm_5_diff,ppda_ewm_5_diff,shots_target_ewm_5_diff,corners_ewm_5_diff,fouls_ewm_5_diff,yellow_cards_ewm_5_diff,red_cards_ewm_5_diff,xp_ewm_5_diff,xg_ewm_5_diff,np_xg_ewm_5_diff,deep_completions_ewm_5_diff
ppda_ewm_5_diff,5.205264501046941,1.4552192068024075,2.9027184222734594,4.4806802147386575,0.2757068040949252,-0.09281542078441496,0.7046475382382064,0.5077509854586688,0.46884976252180866,20.18834723162395,3.8088729587363246,5.623562382198747,21.771669277089348,1.533679771568454,3.0546442785420695,4.751450107444644,0.3342740309780634,-0.1034000059712436,0.7736268869645825,0.5418960247315409,0.49373448136662546,4.015492842181454
shots_target_ewm_5_diff,4.8455200641880785,3.044260585175413,1.3738381896331462,-2.001897703292509,-0.4258224619495955,-0.04932162599020306,0.6978474816956015,0.9040740634103597,0.8278385715680866,1.5530352874688909,4.548226684658721,5.179973133011671,1.533679771568454,3.301321241859509,1.4518360628805331,-1.968454010458873,-0.4177802821533629,-0.05069212082047145,0.7386320591854804,0.9680039480482829,0.8822250201972537,4.678386886904108
corners_ewm_5_diff,4.208326000778534,1.388034299033626,3.5092608573013213,-1.3698928124965142,-0.4425420013158529,-0.05263112231000912,0.4357465947898465,0.4981866519799969,0.4904142795936106,2.9973485444938355,3.2489652332674344,4.5319737172036545,3.0546442785420695,1.4518360628805331,3.8649142443281037,-1.418552364260997,-0.4371340865703468,-0.05434548540439144,0.4572478198937397,0.530115095420019,0.5203202097416462,3.399774675945058
fouls_ewm_5_diff,-3.636260042203023,-1.9656749018213133,-1.4211030841110888,10.433771479205456,1.4678204685471723,0.042519160241548185,-0.4295722085323539,-0.757743683500426,-0.7439781799105237,4.340675012193564,-4.835166251760678,-3.7163758058385654,4.751450107444644,-1.968454010458873,-1.418552364260997,11.200025219395101,1.5682362290246075,0.03913031779142978,-0.43029119618255235,-0.7611537984960914,-0.752120059112765,-4.8579602785240255
yellow_cards_ewm_5_diff,-0.8943813359711847,-0.3956917275922906,-0.44413328694193577,1.483850043628263,1.018241539777677,0.048202549790008105,-0.1606165276317687,-0.17470527137909475,-0.17429108385148534,0.263310604885612,-1.015302925108531,-0.9503695526154133,0.3342740309780634,-0.4177802821533629,-0.4371340865703468,1.5682362290246075,1.1301964500067427,0.05223239034165139,-0.1687661375129096,-0.18269337697184393,-0.1802613384899043,-1.0639910629750557
red_cards_ewm_5_diff,-0.12137614499677843,-0.04900405013390492,-0.05193910795923128,0.04374345710083671,0.04528433921496637,0.04784488631844788,-0.02649211756033886,-0.020303690052453388,-0.018072974085396525,-0.09140716131746829,-0.09115445570420744,-0.13365645917867477,-0.1034000059712436,-0.05069212082047145,-0.05434548540439144,0.03913031779142978,0.05223239034165139,0.05385027783011856,-0.028440363255846292,-0.020950889682604175,-0.019071713429283946,-0.10559588918316319
xp_ewm_5_diff,1.4175021079345236,0.6855247992993245,0.4323247746543014,-0.4413263168947056,-0.17048027289011328,-0.029184094042790175,0.3755597999411058,0.33044999996030017,0.30012072484370256,0.7761972034826994,1.5045024629550583,1.5354172999002176,0.7736268869645825,0.7386320591854804,0.4572478198937397,-0.43029119618255235,-0.1687661375129096,-0.028440363255846292,0.40863262892438146,0.36135800089053854,0.3242909348593115,1.5659471420170978
xg_ewm_5_diff,1.786327248838579,0.8998752736907597,0.504283888086414,-0.7604954554270812,-0.18062137202500156,-0.021437091472565777,0.3356435000055794,0.44028049347216414,0.39517554393511206,0.5500111703281292,1.8411535605295477,1.921488932383208,0.5418960247315409,0.9680039480482829,0.530115095420019,-0.7611537984960914,-0.18269337697184393,-0.020950889682604175,0.36135800089053854,0.47913102392590445,0.4260267322836903,1.9063891410515954
np_xg_ewm_5_diff,1.6758277902615035,0.8186263616512347,0.49128892378733935,-0.7517183107140956,-0.17607811468781073,-0.01942376553668811,0.30192257660723937,0.39165696514052045,0.38430162110221433,0.49652269932597165,1.7398499828211482,1.8030471205412275,0.49373448136662546,0.8822250201972537,0.5203202097416462,-0.752120059112765,-0.1802613384899043,-0.019071713429283946,0.3242909348593115,0.4260267322836903,0.4160328149456504,1.804982758082729
deep_completions_ewm_5_diff,9.50715815790128,4.459518738436997,3.257116253978972,-4.781578161038739,-1.038665908520234,-0.10811694465886584,1.4988887478025275,1.802141873290674,1.7169668151247612,4.104429987620078,14.081788300291608,10.090830399182103,4.015492842181454,4.678386886904108,3.399774675945058,-4.8579602785240255,-1.0639910629750557,-0.10559588918316319,1.5659471420170978,1.9063891410515954,1.804982758082729,14.70831785708752
